id,Title,Season,Episode,Writers,Directors,Cast,Script;;;
(Glatterflug Airlines Flight 627 is enroute from Hamburg, Germany to Boston, Massachusetts);;;
ANNOUNCEMENT: ... ist eingeschaltet. Befestigen sie bitte ihre Sicherheitsgürtel.;;;
ANNOUNCEMENT: The Captain has turned on the fasten seat-belts sign. Please make sure your seatbelts are securely fastened.;;;
GERMAN WOMAN: Ich möchte sehen wie der Film weitergeht. (I would like to see the film continue);;;
MAN FROM DENVER: I don't speak German. I'm from Denver.;;;
GERMAN WOMAN: Dies ist mein erster Flug. (this is my first flight);;;
MAN FROM DENVER: I'm from Denver.;;;
ANNOUNCEMENT: Wir durchfliegen jetzt starke Turbulenzen. Nehmen sie bitte ihre Plätze ein. (we are flying through strong turbulence. please return to your seats);;;
INDIAN MAN: Hey, friend. It's just an electrical storm.;;;
MORGAN STEIG: I understand.;;;
INDIAN MAN: Here. Gum?;;;
MORGAN STEIG: No, thank you.;;;
FLIGHT ATTENDANT: Mein Herr, sie müssen sich hinsetzen! (sir, you must sit down) Beruhigen sie sich! (calm down!) Beruhigen sie sich! (calm down!) Entschuldigen sie bitte! Gehen sie zu ihrem Sitz zurück! [please, go back to your seat!];;;
FLIGHT ATTENDANT: (on phone) Kapitän! Wir haben eine Notsituation! (Captain, we have a difficult situation!);;;
PILOT: ... gibt eine Not-... (... if necessary...) Sprechen sie mit mir! (talk to me) Was zum Teufel passiert! (what the hell is going on?) Beruhigen ... (...calm down...) Warum antworten sie mir nicht! (why don't you answer me?) Reden sie mit mir! (talk to me);;;
OLIVIA: Oh my god!;;;
JOHN SCOTT: What?;;;
OLIVIA: This bed is loud.;;;
JOHN SCOTT: You think?;;;
OLIVIA: We can't keep doing this. Sneaking around.;;;
JOHN SCOTT: Department is not a massive fan of office romance. The policy seminar was endless, wasn't it? Kept finding myself staring at you, I decided to move my chair to stop.;;;
OLIVIA: Well, I think Charlie knows.;;;
JOHN SCOTT: No, he doesn't know.;;;
OLIVIA: Well, I think he does.;;;
JOHN SCOTT: If he knew, we would be transferred. The idea somebody making a call whether not you and I get to live in the same city is unacceptable to me. Anyway that's just a preamble to a kicker, which is that - I love you.;;;
OLIVIA: (answers her cell phone) Olivia Dunham. Yes, sir. Of course, sir. Yes, sir. I-I... I'm on my way. (to John): Incident at Logan. International flight. Charlie is on his way.;;;
JOHN SCOTT: (answers his cell phone) Agent Scott.;;;
OLIVIA: Olivia Dunham, FBI.;;;
CHARLIE FRANCIS: We've got a flight out of Hamburg, 147 passengers. Tower has lost contact three hours in. They thought it might have been electrical interference. They enter in our airspace radio silent. Navy then scrambles two F-18 for escort. They reported stains on the windows, no signs of life aboard the jet. White House approved the CDC's request for the jet not to be opened until they arrive.;;;
OLIVIA: No signs of life? Who was flying the plane?;;;
CHARLIE FRANCIS: Logan is one of the first airports with the PEARL autopilot system. Plane landed itself right on time, unlike every flight I've ever taken.;;;
JOHN (on phone): ... well, let me assure you, we'd be happy to treat you as family too. (to all) Good old NTSB, they all like to think they're cops.;;;
CHARLIE FRANCIS: Agent Scott.;;;
JOHN SCOTT: Agent Francis. Agent Dunham.;;;
CHARLIE FRANCIS: Whatever the hell McNeary shot through that window, it made him throw up in front of his whole unit.;;;
(security checkpoint to the tarmac);;;
MAN IN CAR: Excuse me. So what's going on here? Some sort of an accident?;;;
GUARD: The tarmac is closed. Nothing you need to worry about, sir.;;;
MAN IN CAR: Alright.;;;
GUARD: Move on.;;;
MAN IN CAR: I'll do that. Thank you.;;;
(standing next to Flight 627);;;
BROYLES: Although this is a joint task force, you are all reporting to the Department of Homeland Security. I'm Special-Agent-in-Charge Broyles. DC has sent me here to make sure we get results. Standard Level 4 HAZMAT suits are required to go in. Members from each agency of the starting line as follows: CIA, Faranough. FBI, Charlie Francis and John Scott. Everyone else stand by. OK people, let's move.;;;
OLIVIA: Sir. Olivia Dunham. FBI's interagency liaison.;;;
BROYLES: Liaison on an interagency task force, got to love that. Kinda like powdered sugar on a glazed doughnut.;;;
OLIVIA: Excuse me, if I'm gonna do my job effectively, I'd like my information first hand, that's not redundancy, that's accountability.;;;
BROYLES: I know exactly who you are. You want in, Liaison? Suit-up.;;;
AGENT: What kind of terrorism is this?;;;
OLIVIA: Who says it's terrorism?;;;
NEWS ANCHOR: (voiceover from broadcast)... sources tell us, that the plane was deliberately set ablaze by the CDC.;;;
AGENT #1: I've got 15E. Seat 41A. John Rosenblum, Honolulu Hawaii. Car salesman... criminal history checks negative.;;;
AGENT #2: ...intelligence check's negative.;;;
OLIVIA: Have we reviewed video from Hamburg Airport? We need to see if any passengers were showing signs of illness.;;;
AGENT DAWSON: ...ground crew who fueled the airplane. We need names.;;;
BROYLES: On it's way Agent Dawson. And what the hell is taking so long with that black box?;;;
AGENT #4: Report says maintenance replaced oxygen tank an hour before take-off.;;;
OLIVIA: Please tell me that terminal's shut down.;;;
BROYLES: It's been down since 4:00 local time. You got any more questions?;;;
OLIVIA: Who's point from CDC on the bone tissue and air sample?;;;
BROYLES: Agent Paley. You want his home number?;;;
OLIVIA: No, but I'd like the whole report, and not just this fax, claiming that there's no matches...;;;
BACKGROUND: ...to any known pathogens or airborne viruses.;;;
BROYLES: (to Olivia) We're on that too, Liaison. We don't think what happened on that plane was a result of the in-flight movie.;;;
CHARLIE FRANCIS: (to all) Back Bay PD got a call at 3:00, from a guard on duty from a storage facility. He saw two, and I quote, 'suspicious middle-eastern men' handing a white guy a briefcase.;;;
BROYLES: (to Olivia) Liaison, take it. Go find out.;;;
OLIVIA: Take what? That? You're telling me that's my assignment?;;;
BROYLES: Yeah, Honey, would you mind?;;;
"NEWS ANCHOR: (voiceover from broadcast) """"... CDC's control. The decision was made to burn the plane only after ...""""";;;
(Olivia and John walking along a snow-covered storage facility);;;
OLIVIA: Petty bastard. He's pissed because his best friend sexually assaulted three marine privates. And I'm the bad guy, cause I put him away.;;;
JOHN SCOTT: Broyles is an idiot. You're smarter, you're stronger, you're much better looking. He's jealous.;;;
(Olivia stops walking);;;
JOHN SCOTT: What?;;;
OLIVIA: You said you loved me. In the motel.;;;
JOHN SCOTT: Yeah.;;;
OLIVIA: That was a big deal.;;;
JOHN SCOTT: Yeah, well you didn't say anything back, so I just let it go.;;;
OLIVIA: I've been sorta bad at this, for a long time. Until you. I wanted to say, I love you too.;;;
(Staring and smiling at each other, John kisses Olivia);;;
JOHN SCOTT: Let's go check the trash together.;;;
(they open up and rummage through a dumpster, picking up a pair of canisters);;;
OLIVIA: Empty.;;;
JOHN SCOTT: Acetylene, propane?;;;
OLIVIA: (she smells the canister) No, ammonia.;;;
(suddenly, John goes to pick a lock on one of the storage units);;;
OLIVIA: What are you doing?;;;
JOHN SCOTT: What are you doing? I'm a federal agent.;;;
(they start opening more of the storage units...stepping into one with animals in cages and computer equipment);;;
JOHN SCOTT: We need to get a chem-transport team out here now.;;;
OLIVIA: I'm on it. (trying her cell phone) No signal. (she goes outside to get a signal);;;
(while John searches other storage units, a door from another storage unit opposite him is opened from the inside and out steps the MAN IN CAR from Logan Airport);;;
JOHN SCOTT: Freeze FBI! I have a gun! I will shoot!;;;
(the man starts to run and John chases him while calling Olivia on his cell);;;
OLIVIA: (picks up her cell phone) John?;;;
JOHN SCOTT: We have a runner in the back. We need him alive.;;;
OLIVIA: I'm on my way.;;;
(Olivia catches up to them. The man stops and triggers a speed-dial on his cell phone);;;
JOHN SCOTT: Hands in the air!;;;
OLIVIA: John!;;;
(A storage units explode. John is engulfed in flames. Olivia is thrown against a wall and passes out);;;
(Olivia in a dreamy state. Dr. Reyes voiceovers much of her recovery sequences and her initial visit to see John);;;
DR. REYES: You were very lucky today, Agent Dunham. Your wounds could have easily been much more severe. Agent Scott wasn't as fortunate. While he survived the initial blast, Agent Scott was exposed to some synthetic chemical compounds. Work that was done in the labs you found. He's not contagious, but until we understand more it's better not to introduce any additional contaminates. We haven't been able to identify the substance that is affecting him. The CDC has sent in specialists, but they've never seen anything like what's happening here. We've put Agent Scott in a drug induced coma. His body temperature has been lowered significantly to try and slow the progress. I'm sorry Agent Dunham.;;;
"(Olivia is performing searches on a computer database. Her search brings up an article by a Dr. Walter Bishop entitled: """"Report on Dissolved Flesh"""", from the Medical Journal Archive. She runs to Broyles)";;;
OLIVIA: (comes up behind Broyles) It's me. Liaison. (Broyles does not turn around) I found a connection between the Hamburg flight and what's happened to Agent Scott. (Broyles turns around) His name is Walter Bishop. He's a scientific researcher from Cambridge, born in '46. Harvard educated post-grad at Oxford and MIT. Look at the experiments he was doing in the seventies. I believe Dr. Bishop might have information that might tell us what happened aboard that plane and save Agent Scott's life.;;;
BROYLES: It says the guy has been at St. Claire's for 17 Years.;;;
OLIVIA: I saw that. An assistant was killed in his lab. Rumors about Dr. Bishop using humans as guinea pigs. He was charged with manslaughter, but was deemed mentally unfit to stand trial.;;;
BROYLES: Why are you so sure Bishop's worth our time?;;;
OLIVIA: Why are you so sure he's not?;;;
BROYLES: Listen, Dunham. You and I got off on a wrong foot.;;;
OLIVIA: If my past job performance as US Marine Special Investigator offends you...;;;
BROYLES: Well, Yeah. It does. A man who serves his country for 30 Years has a few drinks and small lapse of judgment does not deserve five years...;;;
OLIVIA: A small lapse in judgment that will haunt three young women for the rest of their lives.;;;
BROYLES: But that's not tonight's business, is it? Look, DC has tasked me to make sure that our reaction to Flight 627 is beyond reproach. Now, it says here, in 1991, the glorious State of Massachusetts forbade Dr. Bishop from having any visitors, with the exception of immediate family. So, from where I sit, barging into a mental institution, waving the Patriot Act, which is what you need, and demanding face-time with some old lab rat, who you think might be behind some of the most terrifying terror that I can possibly imagine ...;;;
OLIVIA: I'm coming to you with a solid lead and your personal resentment is preventing you...;;;
"BROYLES: And you're wasting your breath and my time. Do you understand """"immediate family?"""" You want to question Dr. Bishop, you go find his next of kin and have him escort you in. Talk to Bishop, uncover something substantial and I will have your back. Until then, I am not so convinced. Now, can you handle that?";;;
OLIVIA: He does have a son.;;;
BROYLES: Is his son a local too?;;;
OLIVIA: Not exactly.;;;
(helicopter flyover of the city while voiceover from the Federal Building continues);;;
BROYLES: (in voiceover) So this guy's Walter Bishop's son?;;;
OLIVIA: (in voiceover) His name is Peter Bishop. He's a high-school drop-out, IQ at 190, just 50 points north of genius. Misfit, nomad. Hasn't kept a job longer than two months. He's been a wild land fireman, cargo pilot and briefly a college chemistry professor. He falsified a degree from MIT. He even managed to get a few papers published before he was found out. Sounds like a massive pain in the ass.;;;
(taxicab ride to a well-appointed hotel. meeting with two local businessmen in a private room);;;
PETER: My resume is hardly traditional, but around these parts traditional increasingly means irrelevant. Hundred billion dollar sunk in infrastructure and you can barely keep the lights on. You need someone to oversee construction on 600 miles of pipeline to carry crude between your fields in Kirkuk and the port of Ceyhan. A job well out of the 'Green Zone', I might add. Well, I'm still alive to do so. You need someone who has a handle on the laws of hydro-dynamic resistance, the heat exchange and oil mixture flows. You'll also need someone who can work with mixed integer programs cause you're gonna have to resize the pipes as you start working across uneven terrain. That is, if you want to keep down the construction costs. (Peter pauses when the two men begin to converse separately in their native language) Truth is, I need this job as much as you need me to do it. (when the businessmen continue their separate chat) ...I also speak Farsi. And 600,000 all-in... sounds fair.;;;
(in the lobby of the hotel);;;
OLIVIA: Peter Bishop? Olivia Dunham. I'm with the FBI.;;;
PETER: OK.;;;
OLIVIA: You've heard of flight 627?;;;
PETER: The Hamburg flight, of course.;;;
OLIVIA: You may be able to help us with that.;;;
PETER: No, I think you've got the wrong guy.;;;
OLIVIA: Your father is Walter Bishop.;;;
PETER: The last time somebody asked me that it was an accusation.;;;
OLIVIA: Well, he's the man we're looking to speak with, but due to his current status, you're the only one who can provide us access.;;;
PETER: And what possible help could that man be to you? And what is it exactly that you're expecting me to do? Hop on a plane with you back to Massachusetts? I just got here Honey.;;;
OLIVIA: I can have you on a return flight here in four days, but first...;;;
PETER: Let me save you the time. I'd rather stay here in Iraq. That's how much I want to see my father.;;;
OLIVIA: I'm going to beg you as one human being to another. Your father may be able to save someone who is dying. Someone I care about very much.;;;
PETER: Sweetheart, we all care about someone who is dying. I can't help you, I'm sorry.;;;
OLIVIA: I know why you're here. I have your file.;;;
PETER: What file?;;;
OLIVIA: The one the FBI would say doesn't exist. And it has everything. Where you've been, what you're running from. And what you need while you're here. So, either you come with me, or I let certain people know your whereabouts.;;;
PETER: When do we leave?;;;
(together alone in the cabin of a small jet);;;
OLIVIA (on cell phone): Did the doctor say anything else? Yeah. Thanks, Charlie.;;;
PETER: Let me ask you something. My father, not my favorite. He is without a doubt the most self-absorbed, twisted, abusive, brilliant, myopic son-of-a-bitch on the planet. So he was a chemist. That much I already know. He worked out of a basement lab in Harvard, doing research for a toothpaste company. I also know that there was an accident at the lab one night, when my father was arrested. Beginning the first truly peaceful period in our home, but here is the thing Olivia, my gut tells me, that your friend's life, the one hanging in the balance, is not going to be saved by a tube of toothpaste.;;;
"OLIVIA: He worked out of Harvard, but not on toothpaste. He was a part of a classified US Army experimental program called Kelvin Genetics. They gave him the resources to do whatever work he wanted. Which was primarily in an area called """"fringe science.""""";;;
"PETER: When you say """"fringe science,"""" you mean pseudo-science.";;;
OLIVIA: I suppose. Things like mind control, teleportation, astral projection. Invisibility, genetic mutation, re-animation, fertility...;;;
PETER: Whoa, excuse me for a second. Re-animation, really? So you're telling me... what? My father was Dr. Frankenstein?;;;
(Peter and Olivia arrive at St. Claire's, walk through security doors and past holding cells);;;
PETER: You know what? Why don't you go on ahead? (turns back while she proceeds with her escort);;;
(Walter sits facing a wall in a large cell);;;
GUARD: Dr. Bishop, special day. You have a visitor.;;;
OLIVIA: Hello.;;;
WALTER: I knew someone would have come. Eventually.;;;
(Walter and Olivia sit in a large dining hall. two escorts lingering nearby);;;
OLIVIA: Dr. Bishop? Dr. Bishop?;;;
WALTER: This was ... when did this happen?;;;
OLIVIA: The incident on the plane happened four days ago. Agent Scott was injured the next day.;;;
WALTER: Aderm already indurated. Translucent. Muscular tissue.;;;
OLIVIA: On Scott? You mean can you see through his skin? Yes.;;;
WALTER: Oh, that's not good. To see through the skin. It's tricky, it's advanced.... like that.;;;
OLIVIA: What's happening to him? Can it be reversed? What is it?;;;
WALTER: They have this horrible pudding here. Butterscotch pudding on Mondays. It's dreadful.;;;
OLIVIA: It's Thursday.;;;
WALTER: Oh. That's fantastic news! It can be reversed. What happened to your colleague. Years ago I worked with lab animals and... some of them were afflicted, but were saved.;;;
OLIVIA: So, do you remember what to do?;;;
WALTER: This place, their choice of therapies has ...;;;
OLIVIA: Dr. Bishop?;;;
WALTER: You came here today with my son. I'm not allowed visitors you see, except immediate family. Unless the order has been lifted. And it's a simple 'if-then' formula. If you are here, then so is he. I would so much, so very much like to see him. So much.;;;
(Olivia finds Peter waiting down the hallway);;;
OLIVIA: He asked for you.;;;
PETER: Thanks, sweetheart. I really appreciate that.;;;
OLIVIA: Hey, I didn't tell him you were here. Call me sweetheart one more time, I'd really like that.;;;
(Peter gains his resolve and joins Walter in the dining hall);;;
PETER: Hello, Walter.;;;
WALTER: I thought you'd be fatter.;;;
PETER: You thought I'd be fatter? Excellent, first words. Perfect.;;;
WALTER: No, as a boy. You were round.;;;
PETER: Yes, I was. Until the summer before high-school, not that I'd expect you to remember that.;;;
WALTER: May I see something?;;;
PETER: What are you doing? Take your hands off of me!;;;
WALTER: Pupils are good. They're good.;;;
WALTER (to Olivia): How advanced is your colleague's condition? Would you... something... I'm unable to deduce without a first-hand examination. I must see Mr. Scott myself, which I am unable to do. Under the present law. Unless, signed out by a legal guardian, who must be once again a relative.;;;
PETER: What are you asking me to...? No! Guardian? No. Forget it.;;;
OLIVIA: He'll do it.;;;
PETER: No, I will not.;;;
OLIVIA: One phone call. That's all it takes. You want me to make it? Cause I've got my phone in my pocket. Now it's out of my pocket.;;;
PETER: You wanted my father. Now you've got my father. Which falls into the category, be careful what you wish for, Sweetheart.;;;
(Peter signs out Walter and waits quietly with Olivia while Walter shaves and changes into street clothes.);;;
(driving away from the asylum);;;
RADIO REPORTER: (voiceover) Every effort is being made to understand what happened on Flight 627.;;;
OLIVIA: Dr. Bishop, I was curious. Did anyone else ever have access to your work?;;;
WALTER: Well, the assistants have bits and pieces... God, I suppose. I suppose the only one who really knew what I was doing was Belly.;;;
OLIVIA: Who?;;;
WALTER: Belly. William Bell, he and I shared a lab.;;;
OLIVIA: William Bell?;;;
PETER: You shared a lab with the founder of Massive Dynamics?;;;
WALTER: I'm sorry. I don't know what that is. Massive Dynamics.;;;
(to Walter) Ah, nothing really. Just a tiny little company.;;;
PETER: (to both) That's perfect. One guy becomes one of the wealthiest man on planet, the other guy becomes an institutionalized psychopath.;;;
WALTER: Oh!;;;
OLIVIA: What? What happened?;;;
WALTER: I just pissed myself.;;;
PETER: Excellent.;;;
WALTER: Just a squirt.;;;
(Olivia drives past a billboard advertising Massive Dynamic.);;;
CHARLIE FRANCIS: Just got the message, how's John?;;;
OLIVIA: Worse. CDC says that Hamburg flight was caused by synthetic compounds, which is like saying rain is caused by wet compounds. They've run some tests on John, but haven't come back with anything.;;;
CHARLIE FRANCIS: What about Bishop?;;;
OLIVIA: Left or right? Insane, and irritating. And also my only hope. Listen. I need to question William Bell. Could you set that up for me?;;;
CHARLIE FRANCIS: William Bell? Massive Dynamic's William Bell?;;;
OLIVIA: He and Bishop used to shared a lab.;;;
CHARLIE FRANCIS: You kidding?;;;
(Astrid, Olivia, Peter and Walter enter sterilized area. John is lying on an examining table. Walter stares at a skylight.);;;
OLIVIA: Dr. Bishop?;;;
WALTER: Send Ginger ale. I need Ginger ale. Haven't had some long time. I miss it.;;;
OLIVIA: Can you please get some Ginger ale for the doctor, Agent Farnsworth?;;;
(Walter picks up scalpels and approaches John's body.);;;
PETER: (to Walter) Whoa! Stop right now! Stop!;;;
PETER: (to Olivia) Does this not concern you?;;;
OLIVIA: Let him go.;;;
WALTER: Petri dish. Quick, please. But, I need to take this to my lab right away.;;;
OLIVIA: Your what?;;;
WALTER: Kresge Building basement, Harvard. We should leave, I have my sample.;;;
OLIVIA: Your lab was shut down after you left.;;;
WALTER: I'm sorry?;;;
PETER: Wake up. It's gone.;;;
WALTER: No. No, no, no. No, no, no, no, no.;;;
PETER: Walter, there is no lab.;;;
WALTER: It's a perfect working... Damn you!;;;
(Walter smashes equipment.);;;
PETER: We need to get him back immediately.;;;
BROYLES: Liaison. When did you get back?;;;
OLIVIA: I need your help. I want you to know I've successfully had Dr. Walter Bishop released from St. Claire's and he requires the use of his old laboratory.;;;
BROYLES: I'm sorry. What?;;;
OLIVIA: Kresge Building, Harvard, basement.;;;
BROYLES: It would be nice, to think that your tenacity in this case is a byproduct of a remarkable and robust professionalism. But I can't help but wonder, if it wasn't something going on between you and Agent Scott.;;;
OLIVIA: Get the lab for Bishop.;;;
(Someone turns on the lights at the Lab. Walter, Olivia, Peter and Astrid enter the room.);;;
WALTER: (to himself): So much. So much happened here.;;;
WALTER: (To the others) And so much is about to.;;;
OLIVIA: Dr. Bishop, I've ordered a standard forensics' work package. Is there anything else you need?;;;
WALTER: Optical coherence tomograph for flesh study. Two thousand pounds of silicon. At least five anonymous blood samples from volunteer donors, micro-organism detector. NASA grade, of course. There's still NASA, yes?;;;
OLIVIA: Yes.;;;
WALTER: Oh, she's still here. This tank was the best. And a two-Year-old bos taurus.;;;
ASTRID: A what?;;;
PETER: A cow. He wants a cow.;;;
WALTER: Purebred, not a crossbred, this is important. Mature weight 850 pounds, total fat average 2.37.;;;
OLIVIA: Is he joking?;;;
PETER: Genetically, humans and cows are separated by only a couple lines of DNA. So, what's an ethical test subject?;;;
OLIVIA: Where'd you learn that? MIT?;;;
PETER: No actually, I picked that up reading books. You should try it sometime. It's fun.;;;
OLIVIA: (to Astrid) Get him the cow.;;;
WALTER: Fantastic, thank you. Only thing better than a cow is a human. Unless you need milk. Then you really need a cow.;;;
(Activity including Walter examining laboratory slides; Olivia reviewing photos of Flight victims; an unidentified, and unrelated, class in session; and the arrival of the cow.)
PETER: Coffee?;;;
OLIVIA: Thanks.;;;
PETER: Tell me. What else did that file say? About yours truly. How bad was it?;;;
OLIVIA: I'm not at liberty to discuss it.;;;
PETER: Why don't you go ahead and liberate yourself because I'm here now, so I kinda feel like I deserve the truth, don't you?;;;
(Olivia looks at Peter without speaking.);;;
PETER: There was no file.;;;
OLIVIA: I needed you back here.;;;
PETER: So that was what? You were bluffing?;;;
OLIVIA: I was desperate.;;;
PETER: Yeahh, I'm usually pretty good at reading people. That's sorta what I do.;;;
OLIVIA: Yeahh, well I could see you were in trouble. Anyone could see that.;;;
PETER: So I could have stayed. I could have stayed in Iraq.;;;
"OLIVIA: You know, a car bomb went of this morning in Kirkuk. You just might owe me a """"Thank you"""".";;;
PETER: Yeahh, well, I owe a lot.;;;
OLIVIA: Yeah, I figured. Mafia.;;;
PETER: A guy named Big Eddie. I swear to you I'm not making that up.;;;
OLIVIA: You owe money to a guy nick-named Big Eddie?;;;
PETER: No, I owe money to a guy named Big Eddie. He had it legally changed. And the thing is, I'm not even a gambler. I mean I never was. It's just ... A couple of years ago I went a bit crazy.;;;
OLIVIA: I thought you were a genius, you must have had a system.;;;
PETER: Of course there was a system. The House was cheating. But you try telling them that.;;;
WALTER: (in background) Seventy-two, during Vietnam, DOD's BioChem Division had us working on a protocontagion for a possible use against Vietcong. It's possible that whatever affected that plane may have been derived from that work.;;;
OLIVIA: What about John?;;;
WALTER: What's affecting him is merely a chemical reaction to the raw laboratory ingredients. Not the finished contagent, which means we can synthesize a counter-agent.;;;
OLIVIA: So you can help him?;;;
PETER: Don't do that. Don't give her false hope.;;;
WALTER: It's not false. It's not false; It's real. I could help, yes, if I had a precise inventory of what was in that storage facility when it detonated.;;
OLIVIA: We don't have it. It all went up, everything. And the suspect who might have those answers got away and John was the only one who saw his face. So how long does he have left?;;;
WALTER: Current rate of crystallization, cellular degradation,...;;;
OLIVIA: How long?;;;
WALTER: Twenty-four hours. His brain will no longer be able to oxygenate itself. I'm so sorry. That I can't offer you a less dangerous solution.;;;
OLIVIA: What do you mean?;;;
WALTER: Didn't I mention it?;;;
PETER: Whatever you think you said, you didn't say.;;;
WALTER: Synaptic transfer system, shared dream state.;;;
OLIVIA: What do you mean 'shared dream state'?;;;
WALTER: Human brain generates a quantifiable electric field. I hypothesized in 1976 that it is possible to synchronize the fields of two distinct minds to allow the sharing of information across the unconscious state, like a string between two tin cans.;;;
PETER: You know what's great about that is that it's completely insane.;;;
OLIVIA: You're saying I can talk to John in coma? And he can tell me what the suspect looks like?;;;
WALTER: It's not an exact science.;;;
PETER: It's not even science.;;;
OLIVIA: Have you done this before?;;;
WALTER: I have used this technique to extract information from a corpse once. You can do that if they haven't been dead for longer than six hours.;;;
PETER: Right, because after six hours - that's when they are really dead.;;;
OLIVIA: You could access his memories?;;;
WALTER: Assuming there's no brain damage. Of course you'd have to have an electromagnetic probe placed in the base of your skull, whilE immersed without clothing in the old tank. And you'd be heavily drugged.;;;
OLIVIA: What sort of drugs?;;;
WALTER: Mix of Ketamine, neurontin, lysergic acid diethylamide.;;;
PETER: That last one is LSD, by the way. Acid.;;;
WALTER: It would take at least a few hours, I'd need your help to synthesize it, if it's not too much trouble.;;;
PETER: Yeah, sure, no problem. That sounds like fun.;;;
PETER: (to Olivia) The man who was just released from a mental institution, he wants to give you a drug overdose and stick a metal rod into your head and put you naked into a rusty tank of water.;;;
